,text,score
30,Calling the customer service to speak to an agent is impossible. The waiting times are incredibly long.  It beggars believe that after waiting more than 40 still no one is answering. Their automated system is ridiculous.   HSBC have the Worst Customer Service. Utter rubbish!,1
31,I see so many negative reviews on here but today a lovely gentleman called Prasad helped me to get back into my online banking. As I am useless with technology over 50 I struggle. However prasad was a shining example of patience understanding and very polite even when I got frustrated he understood and was amazing thank you so much prasad x,5
32,"We visited Tavern street today (as Felixstowe & Woodbridge branches have both closed sadly) and had excellent service from Wendy - she was kind, responsive and professional. Thank you Wendy!",4
33,"Worst service, called them and explained my situation, they then put me through to another department, waited for 10 minutes then they hung up on me. Tried again to call then and waited for 30 minutes, still they wouldn't answer. Worst service ever",1
34,"Unbelievable what I have to go through, I am a victim of a fraud that happened to me this year. This fake online trading scam skinned me for 89,000 pounds and it all went to their hsbc branch in hong kong. The level of service and customer support is shocking after suffering such a loss and to your own bank that is operating offshore. How can you let these criminals operate? Luckily I got some help and I am progressing legally with them as we speak, but if it was not for the help I got I would be done. Shame on this bank for letting criminals operate.",1
35,"I've been a customer for 20 years, since 2002. Last time I called support was around 5 years ago. It was excellent as it used to be, even the chat was good, and they were able to help through it. Now the chat is useless and calling, well, like many others commenting here, 1 hour waiting for picking up and the call just dropped. They outsourced the customer service to a call center somewhere, quality dropped to the bottom like many other things outsourced. Tried to open a savings account and it says I'm not a UK resident which is false. This prompted to have to call them and go through this experience. Time to look for another bank.",1
36,"After 30 years working and banking with them I’ve reached the end of my tether. Godawful bank and service. Can’t even get hold of my own money without talking to fraud for an hour on a daily basis. Dreadful bank, don’t touch them.",1
37,Just appalling wait times for business banking telephone advice.  Conflicting advice from the branch and the telephone service.  And their internet banking system still has manual forms to fill in that must get put in someone's in tray.   Pick a different bank.,1
38,"after waiting on phone for near a hour the assitant who struggled to understand english then decided enough was enough and terminated the call. Not Before refusing me a chance to speak to a supervisor and asking me a rediculous security question "" you spent £3.50 nearly 3 weeks ago can you tell me where""Unbelievable.Noel Quinn CEO you have been warned.",1
39,"Sent me a Credit card for 0% balance transfers, problem was by the time it took this bank to sort codes out and all that rubbish, my 0% balance transfer promo had expired, OMG its laughable.....I use my card now for a back scratcher :)",1
