,Review,Score
10,"Came here for an early lunch when passing through the UK a while back and wow...the best indian food I have eaten out at a restaurant!! I generally don't eat indian food out because my parents are amazing cooks and we can enjoy good food from the comfort of our home most times. Before I came to the UK, numerous people raved about Dishoom telling me it was a must go!We had a quick stopover in the UK and made it a priority to come here! One thing to note is that they have breakfast hours where they serve a completely different menu from the regular lunch/dinner food. We had showed up early and they were still serving brunch. Call and check this in advance because we ended up waiting over an hour in the restaurant to get lunch food! Nonetheless, the wait was worth it!The ambiance of this spot it really pleasant and unique. We were treated so wonderfully by the staff and service was quite quick once lunch opened. We ordered a few different entrees -- chili chicken, chicken, daal, chicken tikka, and naan. We also got a mango lassi and rice on the side. The food was amazing! Flavors were solid, and meat was tender. I highly recommend all the dishes we ordered because I would 100% order them all again.",5.0
11,The food was sooo amazing I forgot to take pictures before I ate it all. Dishoom is an absolute must if you are in london. Make sure you make a reservation or else you will have a wait!!! The ambiance is so nice and the staff is super attentive. The Ruby chicken was amazing. The tandoori chicken was juicy with just the right amount of charcoal grill. The garlic naan was perfect to dip in the sauce. Ugh- I will forever dream about this meal!!!,5.0
12,"This was a stop during our first trip to London. The food was worth the hype for us. We had the uttapam pancakes with Shrikhand, chicken ruby, cheese toast, jackfruit biryani, and the chicken tikka roll. The breakfast menu wasn't our thing but lunch was absolutely delicious. The chicken was perfectly cooked, the service was excellent, and the ambience was perfect for brunch. I would return.",5.0
13,The line is always so long here--so get here early. I got in at 6pm on a Friday and waited for about an hour.The food here is amazing! Especially the daal! It's so rich and creamy. The ruby chicken and the vegetable dish that came with buns were great too!It's absolutely worth the wait,5.0
14,"I had to come back to Dishoom. The wait was about 45mins and and they were so kind to be handing out chai and wine. Our waiter was so nice and explained the menu. The food was sooo good! The naan was extra soft. The drinks were strong, as they should be  I will definitely be coming back. This location is convenient and close to bars/pubs and the theater.",5.0
15,"On a visit to London, we stopped by Dishoom as it was highly recommended on the internet.  They have indoor and outdoor seating as of this review, and also free wifi.  The restaurant has two levels, and has gorgeous decor.  We were able to walk in and get seated immediately on a Friday late afternoon.We had the mango lassi:  nice yogurty mango drink.  Not too sweet, and topped with fennel seeds.  Not sure what the fennel seeds were for except decoration as it wasn't very edible.  Still very good, 4/5  Basmati rice: a bit dry but still edible.   3/5Chicken berry britannia: oddly has cranberries in it.  Lots of chicken in it. 4.5/5Chicken ruby:  creamy and rich with a nice hint of ginger.  4.5/5Garlic naan: thin and crispy, dotted with lots of fresh garlic and made by hand.  Highly recommend! 5/5Lamb samosas: wish they were bigger; they were tiny!  Thin crispy outer layer.  4.5/5All in all, this place was pretty packed for a reason.  Great comfort food, very salty though.",5.0
16,"Dishoom !!! Yes the wait is worth it. We love eating at this Indian institution whenever we crave for this cuisine. Plates and drinks are solid!This time we had :CHAI- jeeeezus, it's the best ever! 5 starsOKRA FRIES - Fine lady's fingers for the fingers. (V) 5.90. 5 starsPAU BHAJI -A bowl of mashed vegetables with hot, buttered, home-made buns, Chowpatty style. . (V) (S) 6.10 3 1/2 stars HOUSE BLACK DAAL- A Dishoom signature dish - dark, rich, deeply flavoured. It is cooked over 24 hours for extra harmony. (V) 7.90 3 1/2 starsDISHOOM HOUSE CHAAT- Warm-cold, sweet-tangy, moreish. Golden-fried sweet potato covered with cool yoghurt, pomegranate, beetroot, radish and carrot. Tamarind drizzle and green chutney lift it nicely. (V) 6.90 5 starsSoooo good!DISHOOM CHICKEN TIKKA- A family recipe, using a marinade of sweet vinegar, not yoghurt. Laced with ginger, turmeric, garlic and green chilli. (S) 10.704  1/3 stars GUNPOWDER POTATOES- The seduction is in the tumble. New potatoes are smoky-grilled, broken apart, tossed with butter, crushed aromatic seeds and green herbs. (V) 6.90 (4 stars)SPICY LAMB CHOPS- Two chops of generous proportions. They lie overnight in a special marinade of lime juice, warm dark spices, ginger and garlic. Served pink, for juiciness, and blackened by the grill. (S) 15.90 (5 stars )BIRYANISlow-cooked, layered and aromatic, the Biryani traces its origins to Iran -- as does the old Bombay Café. A pot is to be shared, or kept as spicy contentment all for oneself.CHICKEN BERRY BRITANNIATempting and flavourful pot of chicken, ginger, garlic, mint, coriander and rice cooked together in the Kacchi style. An homage to Britannia's Chicken Berry Pulao, with cranberries. 13.90. 4 starsLAMB BIRYANI -NALLI NIHARI BIRYANihari - a famously hearty and robust dish made with tender shank of lamblayered with rice and caramelised onions ! This is a clear winner on the table ! (5 stars )get this!",5.0
17,"Finally tried the famous Dishoom on a recent trip to London. I was prepared for a long line for dinner and I think in total it took about 45 minutes for my party of 1. While in line the passed out samples of their chai which was a great way to get ready for the meal. I was seated in the back courtyard which was perfect though I will say the action seems to be downstairs with hustle and bustle. For my meal I got the vegetable samosas (phenomenal!), garlic naan, and the chicken ruby. There were so many options to choose from I would've liked to split a few things with friends to really get a sampling. Overall a nice experience!",4.0
18,"Heard many raving reviews about this place and had to wait 30 mins to get a spot; it was solid but maybe didn't quite live up to the hype.The waiter recommended we each pick 3 items. I got the murgh malai, roomali roti, and kachumber. The chicken was tender and flavorful, and the roti was warm and yummy.Overall a solid choice!",4.0
19,"Allergy friendly restaurant - They went above and beyond to accommodate our allergies and dietary restrictions. There's a separate vegan menu. I received a binder of allergen matrix (excel sheets) to cross reference against allergens and menu items. The chef also marked up a menu for me, crossing out and checking off items that I can(not) have. I wish every place was like this! Our server was also patient and amazing! House chai - Subtly sweet with a strong ginger taste. Love it! My friend tried mine and ended up getting her own for dessert. Chicken ruby with garlic naan - Similar to butter chicken and absolutely delicious! There's a lot of chicken for the small dish. Garlic naan wasn't anything special, could be more garlicky. Murgh Malai - Perfectly seasoned and tender chicken dish but not particularly special. Chicken Berry Britannia - Delicious and definitely would get again!Chef's Covent Garden Special: Tila-Foi's Very Best Masala Fish - Very spicy, and too spicy for me, so it's hard to tell if it's good. Dishoom House Chaat - Delicious! Kind of get the flavors of a Vietnamese Spring Roll. Roti - Nothing specialMango kulfi - Disappointing in presentation. It's just a mango popsicle on a chopstick in a glass cup. Kala Khatta Gola Ice - Very strong on the spice side rather than sweetness. It was not a favorite. We had reservations for a party of 6, booked 1-2 months ahead. We noticed the non-reservation line was down the street!",5.0
